"Freq [GHz]","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]","ang_deg(S(2,2)) [deg]","ang_deg(S(3,1)) [deg]","ang_deg(S(3,2)) [deg]","ang_deg(S(3,3)) [deg]"
1,70.2918708555766,-144.143641012861,-45.734456441364,-144.187408651137,159.696988187637,-46.2970558470914
1.001,70.2026927985699,-144.289119243901,-45.8985182729495,-144.333004111408,159.514410630827,-46.4627805591889
1.002,70.1135504343938,-144.434600045287,-46.062484551701,-144.478601769835,159.331845597805,-46.6284008630089
1.003,70.0244437451911,-144.580083416429,-46.2263553543284,-144.624201624655,159.149293030238,-46.7939168517819
1.004,69.9353727132365,-144.725569356748,-46.3901307572127,-144.769803674116,158.966752869942,-46.9593286185095
1.005,69.8463373209371,-144.871057865672,-46.5538108364055,-144.915407916484,158.784225058886,-47.1246362559626
1.006,69.7573375508332,-145.016548942638,-46.7173956676294,-145.061014350036,158.601709539191,-47.2898398566812
1.007,69.6683733855988,-145.162042587091,-46.8808853262772,-145.206622973067,158.419206253125,-47.4549395129727
1.008,69.579444808042,-145.307538798483,-47.0442798874123,-145.352233783886,158.23671514311,-47.6199353169115
1.009,69.490551801106,-145.453037576277,-47.2075794257682,-145.497846780817,158.054236151717,-47.7848273603381
1.01,69.4016943478695,-145.598538919943,-47.3707840157488,-145.643461962197,157.87176922167,-47.9496157348578
1.011,69.3128724315471,-145.744042828958,-47.5338937314279,-145.789079326382,157.689314295841,-48.1143005318404
1.012,69.2240860354903,-145.889549302811,-47.6969086465494,-145.934698871738,157.506871317255,-48.2788818424191
1.013,69.1353351431877,-146.035058340996,-47.859828834527,-146.08032059665,157.324440229085,-48.4433597574892
1.014,69.0466197382659,-146.180569943017,-48.0226543684443,-146.225944499516,157.142020974659,-48.6077343677079
1.015,68.9579398044901,-146.326084108387,-48.1853853210546,-146.37157057875,156.959613497451,-48.7720057634932
1.016,68.8692953257644,-146.471600836626,-48.3480217647809,-146.517198832781,156.777217741088,-48.936174035023
1.017,68.7806862861327,-146.617120127264,-48.510563771716,-146.662829260052,156.594833649347,-49.1002392722342
1.018,68.6921126697792,-146.762641979839,-48.6730114136223,-146.808461859022,156.412461166156,-49.2642015648224
1.019,68.6035744610292,-146.908166393898,-48.8353647619316,-146.954096628165,156.230100235594,-49.4280610022403
1.02,68.515071644349,-147.053693368995,-48.9976238877456,-147.099733565972,156.047750801887,-49.5918176736977
1.021,68.4266042043477,-147.199222904696,-49.1597888618352,-147.245372670946,155.865412809416,-49.7554716681602
1.022,68.3381721257766,-147.344755000571,-49.3218597546413,-147.391013941607,155.68308620271,-49.9190230743486
1.023,68.2497753935306,-147.490289656203,-49.483836636274,-147.53665737649,155.500770926449,-50.0824719807381
1.024,68.1614139926484,-147.635826871181,-49.6457195765132,-147.682302974146,155.318466925461,-50.2458184755577
1.025,68.0730879083134,-147.781366645104,-49.8075086448084,-147.827950733141,155.136174144728,-50.4090626467893
1.026,67.984797125854,-147.926908977579,-49.9692039102787,-147.973600652056,154.953892529379,-50.5722045821671
1.027,67.8965416307446,-148.072453868222,-50.1308054417131,-148.119252729486,154.771622024694,-50.7352443691766
1.028,67.8083214086056,-148.218001316657,-50.2923133075701,-148.264906964045,154.589362576105,-50.8981820950544
1.029,67.7201364452049,-148.363551322519,-50.4537275759781,-148.41056335436,154.407114129192,-51.0610178467869
1.03,67.6319867264574,-148.50910388545,-50.6150483147356,-148.556221899073,154.224876629685,-51.2237517111101
1.031,67.5438722384268,-148.6546590051,-50.7762755913108,-148.701882596842,154.042650023463,-51.3863837745088
1.032,67.4557929673251,-148.800216681131,-50.9374094728422,-148.847545446342,153.860434256558,-51.5489141232158
1.033,67.3677488995142,-148.945776913209,-51.0984500261384,-148.993210446261,153.67822927515,-51.7113428432112
1.034,67.2797400215056,-149.091339701013,-51.2593973176782,-149.138877595305,153.496035025567,-51.8736700202222
1.035,67.1917663199618,-149.23690504423,-51.420251413611,-149.284546892194,153.313851454289,-52.0358957397219
1.036,67.1038277816964,-149.382472942555,-51.5810123797567,-149.430218335665,153.131678507945,-52.1980200869288
1.037,67.015924393675,-149.528043395691,-51.7416802816056,-149.575891924467,152.949516133314,-52.3600431468068
1.038,66.9280561430155,-149.673616403353,-51.9022551843193,-149.72156765737,152.767364277323,-52.5219650040636
1.039,66.8402230169893,-149.819191965262,-52.06273715273,-149.867245533155,152.58522288705,-52.6837857431509
1.04,66.752425003021,-149.964770081149,-52.2231262513414,-150.012925550621,152.403091909721,-52.8455054482636
1.041,66.66466208869,-150.110350750754,-52.3834225443282,-150.158607708583,152.220971292712,-53.0071242033389
1.042,66.5769342617305,-150.255933973827,-52.5436260955369,-150.30429200587,152.038860983549,-53.1686420920562
1.043,66.4892415100324,-150.401519750123,-52.7037369684856,-150.449978441328,151.856760929905,-53.3300591978365
1.044,66.4015838216415,-150.547108079412,-52.8637552263644,-150.595667013819,151.674671079605,-53.4913756038415
1.045,66.3139611847608,-150.692698961468,-53.0236809320355,-150.741357722219,151.49259138062,-53.6525913929732
1.046,66.2263735877505,-150.838292396076,-53.1835141480336,-150.887050565421,151.310521781072,-53.813706647874
1.047,66.1388210191291,-150.983888383031,-53.3432549365659,-151.032745542335,151.128462229231,-53.9747214509252
1.048,66.0513034675735,-151.129486922134,-53.5029033595126,-151.178442651884,150.946412673515,-54.1356358842471
1.049,65.9638209219201,-151.275088013199,-53.662459478427,-151.324141893008,150.764373062493,-54.2964500296985
1.05,65.8763733711653,-151.420691656045,-53.8219233545356,-151.469843264665,150.582343344881,-54.4571639688761
1.051,65.7889608044658,-151.566297850503,-53.981295048739,-151.615546765826,150.400323469543,-54.6177777831141
